SOURCE_ROW_NUMBER,listing_id,brand,model,sub_model,model_year,raw_price,title,source_url,price,STATUS,REASON,GROUP_USED,GROUP_SIZE,GROUP_MEDIAN_PRICE,GROUP_LOG_MAD,PRICE_TO_MEDIAN_RATIO,MODIFIED_Z_SCORE
26990,19330711,Toyota,FORTUNER,Leader V,2023,"฿1,139,000",2023 Toyota FORTUNER 2.4 (ปี 15-25) Leader V 4WD SUV,https://www.one2car.com/en/for-sale/toyota-fortuner-leader-v-northeastern-region-mueang-nakhon-ratchasima/19330711,1139000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,33,998999.9999999993,0.02958795718549645,1.1401401401401403,0.8846147414667517
26991,19327695,BMW,430i,M Sport,2019,"฿1,250,000",2019 BMW 430i 2.0 F32 (ปี 13-17) M Sport Coupe,https://www.one2car.com/en/for-sale/bmw-430i-m-sport-bangkok-metropolitan-phaholyothin-bang-sue-chatuchak/19327695,1250000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26992,19327705,BMW,X6,M,2014,"฿1,790,000",2014 BMW X6 4.4 E71 (ปี 08-14) M AWD SUV,https://www.one2car.com/en/for-sale/bmw-x6-m-bangkok-metropolitan-phaholyothin-bang-sue-chatuchak/19327705,1790000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26993,19330473,Mazda,CX-5,C,2018,"฿475,000",2019 Mazda CX-5 2.0 (ปี 17-26) C SUV,https://www.one2car.com/en/for-sale/mazda-cx-5-c-bangkok-metropolitan-pattanakarn-rama-ix/19330473?auc=true,475000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,67,499000.0000000004,0.0835558856909735,0.9519038076152295,-0.3324697626303448
26994,19330617,Mercedes-Benz,C350,e AMG Dynamic,2023,"฿1,690,000",2024 Mercedes-Benz C350 2.0 W206 (ปี 22-30) e AMG Dynamic Sedan,https://www.one2car.com/en/for-sale/mercedes-benz-c350-e-amg-dynamic-bangkok-metropolitan-thapra-wongwian-yai-rama-ii/19330617,1690000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,20,1659728.89352448,0.0429202556446846,1.0182385849843454,0.12191086385726534
26995,19227898,Mazda,CX-5,SP,2018,"฿389,000",2018 Mazda CX-5 2.0 (ปี 17-26) SP SUV,https://www.one2car.com/en/for-sale/mazda-cx-5-sp-bangkok-metropolitan-nonthaburi-rattanathibet/19227898?auc=true,389000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,26,473468.05594464374,0.08710628066268722,0.8215971386366996,-1.3254269200441577
26996,19230531,Mazda,CX-30,SP,2023,"฿520,000",2023 Mazda CX-30 2.0 (ปี 20-26) SP SUV,https://www.one2car.com/en/for-sale/mazda-cx-30-sp-bangkok-metropolitan-nonthaburi-rattanathibet/19230531?auc=true,520000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,20,621960.6096852109,0.12077615036213984,0.8360658085134761,-0.9999312146495736
26997,19217990,Mercedes-Benz,S580,e AMG Premium,2024,"฿4,390,000",2025 Mercedes-Benz S580 3.0 W223 (ปี 21-28) e AMG Premium Sedan,https://www.one2car.com/en/for-sale/mercedes-benz-s580-e-amg-premium-bangkok-metropolitan-liab-duan-ram-inthra-kasetnawamin/19217990?auc=true,4390000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26998,19330571,Honda,CR-V,E,2014,"฿299,000",2014 Honda CR-V 2.0 (ปี 12-16) E AWD SUV,https://www.one2car.com/en/for-sale/honda-cr-v-e-bangkok-metropolitan-mueang-nonthaburi/19330571,299000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,15,329000.00000000023,0.0956141773746868,0.9088145896656523,-0.6449176263922625
26999,19330566,Mercedes-Benz,GLA200,Urban,2019,"฿699,000",2019 Mercedes-Benz GLA200 1.6 W156 (ปี 14-20) Urban SUV,https://www.one2car.com/en/for-sale/mercedes-benz-gla200-urban-bangkok-metropolitan-pinklao-borommaratchachonnani-road/19330566,699000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,16,741993.9352851879,0.07886049354781832,0.942056217388538,-0.4026112585158249
